Samle number,Pool name,Strain,Library,Trans repeat,Time point,Time point repeat,Well barcode number
1,NewSTRs_1,Msn2DBDOE,Msn2_34mer_embedding_HOR7,1,0,1,1
2,NewSTRs_1,Msn2DBDOE,Msn2_34mer_embedding_CIP1,1,0,1,2
3,NewSTRs_1,Msn2DBDOE,Msn2_34mer_embedding_PGM2,1,0,1,3
4,NewSTRs_1,Msn2DBDOE,Msn2_34mer_flanking_HOR7,1,0,1,4
5,NewSTRs_1,Msn2DBDOE,Msn2_34mer_flanking_CIP1,1,0,1,5
6,NewSTRs_1,Msn2DBDOE,Msn2_34mer_flanking_PGM2,1,0,1,6
7,NewSTRs_1,Msn2DBDOE,Msn2_5mer_embedding_HOR7,1,0,1,7
8,NewSTRs_1,Msn2DBDOE,Msn2_5mer_embedding_CIP1,1,0,1,8
9,NewSTRs_1,Msn2DBDOE,Msn2_5mer_embedding_PGM2,1,0,1,9
10,NewSTRs_1,Msn2DBDOE,Msn2_34mer_embedding_HOR7,1,0,2,10
11,NewSTRs_1,Msn2DBDOE,Msn2_34mer_embedding_CIP1,1,0,2,11
12,NewSTRs_1,Msn2DBDOE,Msn2_34mer_embedding_PGM2,1,0,2,12
13,NewSTRs_1,Msn2DBDOE,Msn2_34mer_flanking_HOR7,1,0,2,13
14,NewSTRs_1,Msn2DBDOE,Msn2_34mer_flanking_CIP1,1,0,2,14
15,NewSTRs_1,Msn2DBDOE,Msn2_34mer_flanking_PGM2,1,0,2,15
16,NewSTRs_1,Msn2DBDOE,Msn2_5mer_embedding_HOR7,1,0,2,16
17,NewSTRs_1,Msn2DBDOE,Msn2_5mer_embedding_CIP1,1,0,2,17
18,NewSTRs_1,Msn2DBDOE,Msn2_5mer_embedding_PGM2,1,0,2,18
19,NewSTRs_1,Msn2DBDOE,Msn2_34mer_embedding_HOR7,1,0,3,19
20,NewSTRs_1,Msn2DBDOE,Msn2_34mer_embedding_CIP1,1,0,3,20
21,NewSTRs_1,Msn2DBDOE,Msn2_34mer_embedding_PGM2,1,0,3,21
22,NewSTRs_1,Msn2DBDOE,Msn2_34mer_flanking_HOR7,1,0,3,22
23,NewSTRs_1,Msn2DBDOE,Msn2_34mer_flanking_CIP1,1,0,3,23
24,NewSTRs_1,Msn2DBDOE,Msn2_34mer_flanking_PGM2,1,0,3,24
25,NewSTRs_1,Msn2DBDOE,Msn2_5mer_embedding_HOR7,1,0,3,25
26,NewSTRs_1,Msn2DBDOE,Msn2_5mer_embedding_CIP1,1,0,3,26
27,NewSTRs_1,Msn2DBDOE,Msn2_5mer_embedding_PGM2,1,0,3,27
28,NewSTRs_1,Msn2DBDOE,Msn2_34mer_embedding_HOR7,1,180,1,28
29,NewSTRs_1,Msn2DBDOE,Msn2_34mer_embedding_CIP1,1,180,1,29
30,NewSTRs_1,Msn2DBDOE,Msn2_34mer_embedding_PGM2,1,180,1,30
31,NewSTRs_1,Msn2DBDOE,Msn2_34mer_flanking_HOR7,1,180,1,31
32,NewSTRs_1,Msn2DBDOE,Msn2_34mer_flanking_CIP1,1,180,1,32
33,NewSTRs_2,Msn2DBDOE,Msn2_34mer_flanking_PGM2,1,180,1,1
34,NewSTRs_2,Msn2DBDOE,Msn2_5mer_embedding_HOR7,1,180,1,2
35,NewSTRs_2,Msn2DBDOE,Msn2_5mer_embedding_CIP1,1,180,1,3
36,NewSTRs_2,Msn2DBDOE,Msn2_5mer_embedding_PGM2,1,180,1,4
37,NewSTRs_2,Msn2DBDOE,Msn2_34mer_embedding_HOR7,1,180,2,5
38,NewSTRs_2,Msn2DBDOE,Msn2_34mer_embedding_CIP1,1,180,2,6
39,NewSTRs_2,Msn2DBDOE,Msn2_34mer_embedding_PGM2,1,180,2,7
40,NewSTRs_2,Msn2DBDOE,Msn2_34mer_flanking_HOR7,1,180,2,8
41,NewSTRs_2,Msn2DBDOE,Msn2_34mer_flanking_CIP1,1,180,2,9
42,NewSTRs_2,Msn2DBDOE,Msn2_34mer_flanking_PGM2,1,180,2,10
43,NewSTRs_2,Msn2DBDOE,Msn2_5mer_embedding_HOR7,1,180,2,11
44,NewSTRs_2,Msn2DBDOE,Msn2_5mer_embedding_CIP1,1,180,2,12
45,NewSTRs_2,Msn2DBDOE,Msn2_5mer_embedding_PGM2,1,180,2,13
46,NewSTRs_2,Msn2DBDOE,Msn2_34mer_embedding_HOR7,1,180,3,14
47,NewSTRs_2,Msn2DBDOE,Msn2_34mer_embedding_CIP1,1,180,3,15
48,NewSTRs_2,Msn2DBDOE,Msn2_34mer_embedding_PGM2,1,180,3,16
49,NewSTRs_2,Msn2DBDOE,Msn2_34mer_flanking_HOR7,1,180,3,17
50,NewSTRs_2,Msn2DBDOE,Msn2_34mer_flanking_CIP1,1,180,3,18
51,NewSTRs_2,Msn2DBDOE,Msn2_34mer_flanking_PGM2,1,180,3,19
52,NewSTRs_2,Msn2DBDOE,Msn2_5mer_embedding_HOR7,1,180,3,20
53,NewSTRs_2,Msn2DBDOE,Msn2_5mer_embedding_CIP1,1,180,3,21
54,NewSTRs_2,Msn2DBDOE,Msn2_5mer_embedding_PGM2,1,180,3,22
55,NewSTRs_2,Msn2,Msn2_34mer_embedding_HOR7,1,0,1,23
56,NewSTRs_2,Msn2,Msn2_34mer_embedding_CIP1,1,0,1,24
