Samle number,Pool name,Strain,Library,Trans repeat,Time point,Time point repeat,Well barcode number
1,Msn2muts_1,Msn2_LIVFtoY,Msn2A,1,0,1,1
2,Msn2muts_1,Msn2_LIVFtoY,Msn2A,1,0,2,2
3,Msn2muts_1,Msn2_LIVFtoY,Msn2A,1,0,3,3
4,Msn2muts_1,Msn2_LIVFtoY,Msn2B,1,0,1,4
5,Msn2muts_1,Msn2_LIVFtoY,Msn2B,1,0,2,5
6,Msn2muts_1,Msn2_LIVFtoY,Msn2B,1,0,3,6
7,Msn2muts_1,Msn2_LIVFtoY,Msn2C,1,0,1,7
8,Msn2muts_1,Msn2_LIVFtoY,Msn2C,1,0,2,8
9,Msn2muts_1,Msn2_LIVFtoY,Msn2C,1,0,3,9
10,Msn2muts_1,Msn2_LIVFtoY,Msn2D,1,0,1,10
11,Msn2muts_1,Msn2_LIVFtoY,Msn2D,1,0,2,11
12,Msn2muts_1,Msn2_LIVFtoY,Msn2D,1,0,3,12
13,Msn2muts_1,Msn2_LIVFtoY,Msn2E,1,0,1,13
14,Msn2muts_1,Msn2_LIVFtoY,Msn2E,1,0,2,14
15,Msn2muts_1,Msn2_LIVFtoY,Msn2E,1,0,3,15
16,Msn2muts_1,Msn2_LIVFtoY,Msn2F,1,0,1,16
17,Msn2muts_1,Msn2_LIVFtoY,Msn2F,1,0,2,17
18,Msn2muts_1,Msn2_LIVFtoY,Msn2F,1,0,3,18
19,Msn2muts_1,Msn2_LIVFtoY,Msn2G,1,0,1,19
20,Msn2muts_1,Msn2_LIVFtoY,Msn2G,1,0,2,20
21,Msn2muts_1,Msn2_LIVFtoY,Msn2G,1,0,3,21
22,Msn2muts_1,Msn2_LIVFtoY,Msn2H,1,0,1,22
23,Msn2muts_1,Msn2_LIVFtoY,Msn2H,1,0,2,23
24,Msn2muts_1,Msn2_LIVFtoY,Msn2H,1,0,3,24
25,Msn2muts_1,Msn2_LIVFtoY,Msn2A,1,180,1,25
26,Msn2muts_1,Msn2_LIVFtoY,Msn2A,1,180,2,26
27,Msn2muts_1,Msn2_LIVFtoY,Msn2A,1,180,3,27
28,Msn2muts_1,Msn2_LIVFtoY,Msn2B,1,180,1,28
29,Msn2muts_1,Msn2_LIVFtoY,Msn2B,1,180,2,29
30,Msn2muts_1,Msn2_LIVFtoY,Msn2B,1,180,3,30
31,Msn2muts_1,Msn2_LIVFtoY,Msn2C,1,180,1,31
32,Msn2muts_1,Msn2_LIVFtoY,Msn2C,1,180,2,32
33,Msn2muts_2,Msn2_LIVFtoY,Msn2C,1,180,3,1
34,Msn2muts_2,Msn2_LIVFtoY,Msn2D,1,180,1,2
35,Msn2muts_2,Msn2_LIVFtoY,Msn2D,1,180,2,3
36,Msn2muts_2,Msn2_LIVFtoY,Msn2D,1,180,3,4
37,Msn2muts_2,Msn2_LIVFtoY,Msn2E,1,180,1,5
38,Msn2muts_2,Msn2_LIVFtoY,Msn2E,1,180,2,6
39,Msn2muts_2,Msn2_LIVFtoY,Msn2E,1,180,3,7
40,Msn2muts_2,Msn2_LIVFtoY,Msn2F,1,180,1,8
41,Msn2muts_2,Msn2_LIVFtoY,Msn2F,1,180,2,9
42,Msn2muts_2,Msn2_LIVFtoY,Msn2F,1,180,3,10
43,Msn2muts_2,Msn2_LIVFtoY,Msn2G,1,180,1,11
44,Msn2muts_2,Msn2_LIVFtoY,Msn2G,1,180,2,12
45,Msn2muts_2,Msn2_LIVFtoY,Msn2G,1,180,3,13
46,Msn2muts_2,Msn2_LIVFtoY,Msn2H,1,180,1,14
47,Msn2muts_2,Msn2_LIVFtoY,Msn2H,1,180,2,15
48,Msn2muts_2,Msn2_LIVFtoY,Msn2H,1,180,3,16
49,Msn2muts_2,Msn2_DEKRtoN,Msn2A,1,0,1,17
50,Msn2muts_2,Msn2_DEKRtoN,Msn2A,1,0,2,18
51,Msn2muts_2,Msn2_DEKRtoN,Msn2A,1,0,3,19
52,Msn2muts_2,Msn2_DEKRtoN,Msn2B,1,0,1,20
53,Msn2muts_2,Msn2_DEKRtoN,Msn2B,1,0,2,21
54,Msn2muts_2,Msn2_DEKRtoN,Msn2B,1,0,3,22
55,Msn2muts_2,Msn2_DEKRtoN,Msn2C,1,0,1,23
56,Msn2muts_2,Msn2_DEKRtoN,Msn2C,1,0,2,24
57,Msn2muts_2,Msn2_DEKRtoN,Msn2C,1,0,3,25
58,Msn2muts_2,Msn2_DEKRtoN,Msn2D,1,0,1,26
59,Msn2muts_2,Msn2_DEKRtoN,Msn2D,1,0,2,27
60,Msn2muts_2,Msn2_DEKRtoN,Msn2D,1,0,3,28
61,Msn2muts_2,Msn2_DEKRtoN,Msn2E,1,0,1,29
62,Msn2muts_2,Msn2_DEKRtoN,Msn2E,1,0,2,30
63,Msn2muts_2,Msn2_DEKRtoN,Msn2E,1,0,3,31
64,Msn2muts_2,Msn2_DEKRtoN,Msn2F,1,0,1,32
65,Msn2muts_3,Msn2_DEKRtoN,Msn2F,1,0,2,1
66,Msn2muts_3,Msn2_DEKRtoN,Msn2F,1,0,3,2
67,Msn2muts_3,Msn2_DEKRtoN,Msn2G,1,0,1,3
68,Msn2muts_3,Msn2_DEKRtoN,Msn2G,1,0,2,4
69,Msn2muts_3,Msn2_DEKRtoN,Msn2G,1,0,3,5
70,Msn2muts_3,Msn2_DEKRtoN,Msn2H,1,0,1,6
71,Msn2muts_3,Msn2_DEKRtoN,Msn2H,1,0,2,7
72,Msn2muts_3,Msn2_DEKRtoN,Msn2H,1,0,3,8
73,Msn2muts_3,Msn2_DEKRtoN,Msn2A,1,180,1,9
74,Msn2muts_3,Msn2_DEKRtoN,Msn2A,1,180,2,10
75,Msn2muts_3,Msn2_DEKRtoN,Msn2A,1,180,3,11
76,Msn2muts_3,Msn2_DEKRtoN,Msn2B,1,180,1,12
77,Msn2muts_3,Msn2_DEKRtoN,Msn2B,1,180,2,13
78,Msn2muts_3,Msn2_DEKRtoN,Msn2B,1,180,3,14
79,Msn2muts_3,Msn2_DEKRtoN,Msn2C,1,180,1,15
80,Msn2muts_3,Msn2_DEKRtoN,Msn2C,1,180,2,16
81,Msn2muts_3,Msn2_DEKRtoN,Msn2C,1,180,3,17
