TF,Lib_number,Exp_number,pool_number,Sample_name,why?,bad sample pool?
Abf1,51,16,top,1_0_2,lower correlation to other time points,x
Aca1,29,16,top,1_180_1,lower correlation to other time points 180,v
Aca1,34,16,top,1_180_1,lower correlation to other time points 180,v
Aca1,?,16,top,1_180_1,lower correlation to other time points 180,v
Aca1,56,16,top,1_180_1,lower correlation to other time points 180,v
Ace2,48,13,2,2_0_2,lower corr,
Ace2,48,13,2,1_45_1,lower corr,
Ace2,48,13,2,2_90_1,lower corr,
Ace2,48,13,2,2_90_2,lower corr,
Ace2,77,13,2,2_90_1,lower corr to other 90 tps ,
Ace2,73,13,1,1_90_2,lower corr to all other,
Ace2,73,13,1,1_0_2,lower corr to all other,
Ace2,37,13,2,1_45_1,lower corr to all other,
Ace2,37,13,2,1_90_1,lower corr to all other,
Ace2,94,13,2,1_45_1,lower corr to all other,
Ace2,94,13,2,2_45_2,lower corr to all other,
Ace2,94,13,2,1_180_2,lower corr to all other,
Ace2,45,13,1,1_180_2,lower corr to all other,
Ace2,45,13,1,1_90_2,lower corr to all other,
Ace2,92,13,2,2_45_1,lower corr to all other,
Ace2,92,13,2,2_90_2,lower corr to all other,
Adr1,86,16,top,1_0_2,lower corr to all other,
Adr1,86,16,top,1_180_1,lower corr to all other,
Adr1,62,16,top,1_0_3,lower corr to all other,
Adr1,69,16,top,1_0_3,lower corr to all other,
Cbf1,73,16,top,1_0_2,lower corr to all other tp 0,
Crz1,36,16,top,1_0_3,lower corr to all other tp 0,
Crz1,66,16,top,1_0_2,lower corr to all other tp 0,
Crz1,66,16,top,1_180_3,lower corr to all other tp 180,
Crz1,57,16,top,1_0_3,lower corr to all other tp 0,
Crz1,75,16,top,1_180_2,lower corr to all other,
Crz1,75,16,top,1_0_2,lower corr to all other,
Cup9,43,16,top,1_60_3,lower corr to all other,v
Cup9,33,16,top,1_60_3,lower corr to all other,v
Cup9,90,16,top,1_60_3,lower corr to all other,v
Cup9,34,16,top,1_60_3,lower corr to all other,v
Cup9,52,16,top,1_60_3,lower corr to all other,v
Cup9,52,16,top,1_0_1,lower corr to all other,
Cup9,52,16,top,1_180_3,lower corr to all other,
Cup9,57,16,top,1_60_3,lower corr to all other,v
Cup9,57,16,top,1_60_2,lower corr to all other,
Dal80,90,14,1,1_45_1,lower corr to all other,v
Dal80,90,14,1,2_45_1,lower corr to all other,
Dal80,90,14,1,2_90_1,lower corr to all other,
Dal80,90,14,1,1_90_1,lower corr to all other,
Dal80,59,14,2,2_90_2,no reads,v
Dal80,59,14,2,2_180_2,lower corr to all other,
Dal80,59,14,2,1_90_1,lower corr to all other,
Dal80,80,14,2,2_90_2,no reads,v
Dal80,80,14,2,1_45_1,no reads,
Dal80,60,14,1,1_45_1,lower corr to all other,v
Dal80,60,14,1,1_90_1,lower corr to all other,
Dal80,60,14,1,2_45_1,lower corr to all other,
Dal80,60,14,1,2_0_1,lower corr to all other,
Dal80,70,14,1,1_45_1,lower corr to all other,v
Dal80,64,14,2,2_90_2,no reads,v
Dal80,75,14,2,2_0_1,lower corr to all other,
Dal80,75,14,2,1_45_1,lower corr to all other,v
Dal80,75,14,2,1_45_1,lower corr to all other,
Dal80,75,14,2,2_180_2,lower corr to all other,
Dal80,58,14,2,2_90_2,no reads,v
Dot6,89,16,top,1_0_2,lower corr to all other,
Dot6,89,16,top,1_60_1,lower corr to all other,
Dot6,30,16,top,1_0_1,lower corr to all other,
Dot6,89,19,top,2_45_1,lower corr to some other,
Dot6,33,16,top,1_0_1,lower corr to some other,
Dot6,41,16,top,1_0_3,lower corr to some other,
Fkh1,45,13,1,2_45_1,lower corr to all other,
Fkh1,45,13,1,2_90_2,lower corr to all other,
Fkh1,92,13,1,2_45_2,lower corr to all other,
Fkh2,92,16,top,1_0_1,lower corr to all other,
Fkh2,92,16,top,1_60_1,lower corr to all other,
Fkh2,83,16,top,1_0_3,lower corr to all other,
Fkh2,83,16,top,1_60_2,lower corr to all other,
Fkh2,45,16,top,1_0_1,lower corr to all other,
Fkh2,45,16,top,1_60_1,lower corr to all other,
Fkh2,94,16,top,1_0_1,lower corr to all other,
Fkh2,94,16,top,1_60_1,lower corr to all other,
Fkh2,94,16,top,1_180_3,lower corr to all other,
Fkh2,91,16,top,1_0_3,lower corr to all other,
Gln3,75,14,1,2_0_2,lower corr to all other,
Gln3,75,14,1,2_180_1,lower corr to all other,
Gln3,75,14,1,1_90_1,lower corr to all other,
Gln3,72,14,1,2_0_1,lower corr to all other,
Gln3,72,14,1,2_45_2,lower corr to all other,
Gln3,80,14,1,1_0_1,lower corr to all other,
Gln3,80,14,1,2_0_2,lower corr to all other,
Gln3,80,14,1,2_180_2,lower corr to all other,
Gln3,59,14,1,1_0_2,lower corr to all other,
Gzf3,82,14,2,2_0_1,lower corr to all other,
Gzf3,82,14,2,1_45_2,lower corr to all other,
Gzf3,90,14,2,1_90_1,lower corr to all other,
Gzf3,90,14,2,1_0_1,lower corr to all other,
Gzf3,59,14,3,2_0_2,lower corr to all other,
Gzf3,59,14,3,2_180_1,lower corr to all other,
Gzf3,64,14,1,1_45_2,lower corr to all other,
Gzf3,54,14,2,2_90_2,lower corr to all other,
Gzf3,75,14,1,2_90_1,lower corr to all other,
Gzf3,75,14,1,2_90_2,lower corr to all other,
Gzf3,31,14,1,1_45_1,lower corr to all other,
Gzf3,31,14,1,1_45_2,lower corr to all other,
Gzf3,60,14,3,1_90_1,lower corr to all other,
Hcm1,83,16,top,1_60_2,lower corr to all other,
Hcm1,83,16,top,1_180_2,lower corr to all other,
Hcm1,44,16,top,1_60_3,lower corr to all other,
Mbp1,66,16,top,1_0_1,,
Mbp1,50,16,top,1_0_1,,
Med15,32,16,top,1_0_2,,v
Med15,72,16,top,1_0_2,,v
Med15,88,16,top,1_0_2,,v
Med15,66,16,top,1_0_2,,v
Med15,87,16,top,1_0_2,,v
Med15,56,16,top,1_0_2,,v
Med15,62,16,top,1_0_2,,v
Med15,78,16,top,1_0_2,,v
Met31,51,16,top,1_0_2,,
Met31,63,16,top,1_60_3,,
Met31,95,16,top,1_0_2,,
Met31,31,16,top,1_60_3,,
Met31,79,16,top,1_60_3,,
Mig3,74,13,3,1_45_1,,
Mig3,74,13,3,2_45_2,,
Mig3,86,13,3,2_0_1,,
Mig3,86,13,3,1_90_1,,
Mig3,86,13,3,2_180_1,,
Mig3,29,13,2,2_0_1,,
Mig3,29,13,2,1_45_1,,
Mig3,29,13,2,2_45_2,,
Mig3,29,13,2,1_90_1,,
Mig3,28,13,2,2_90_1,,
Mig3,28,13,2,2_0_1,,
Mig3,41,13,3,2_45_2,,
Mig3,85,13,2,1_45_1,,
Mig3,85,13,2,2_45_2,,
Mig3,85,13,2,2_90_2,,
Mig3,85,13,2,2_180_1,,
Mig3,57,13,3,2_45_2,,
Mig3,57,13,3,2_90_1,,
Mig3,68,13,2,2_90_2,,
Mig3,68,13,2,2_190_2,,
Mig3,71,13,1,2_90_1,,
Msn2,32,13,2,2_90_2,v,
Msn2,46,13,1,1_90_1,,
Msn2,86,13,2,2_0_2,,
Msn2,88,13,2,2_90_2,v,
Msn2,66,13,1,2_180_1,,
Msn2,56,13,2,2_90_2,v,
Msn2,69,13,2,2_90_2,v,
Msn2,87,13,1,1_180_1,,
Msn2,72,13,1,2_180_1,,
Msn2,78,13,2,2_90_2,v,
Msn2ContextND,32,13,1,2_45_2,,
Msn2ContextYKL044W,32,13,1,2_45_2,,
Msn2Contextplasmid,32,13,1,2_45_2,,
Msn2_DBD,46,14,1,1_0_2,no reads,
Msn2DBD,69,14,2,1_45_2,,
Msn2DBD,69,14,2,1_180_2,,
Msn2DBD,72,14,1,1_45_1,,
Msn2DBD,40,14,1,1_0_2,,
Msn2DBD,87,14,1,1_0_1,,
Msn2DBD,87,14,1,2_0_1,,
Msn2DBD,87,14,1,2_180_2,,
Msn2DBD,32,14,2,2_0_2,,
Msn2DBD,32,14,2,2_45_2,,
Msn2DBD,56,14,2,2_0_2,,
Msn2DBD,56,14,2,2_45_1,,
Msn2DBD,56,14,2,2_45_2,,
Msn2DBD,56,14,2,2_180_2,,
Msn2DBD,30,14,1,2_0_1,,
Msn2DBD,66,14,1,1_0_1,,
Msn2DBD,66,14,1,2_0_1,,
Msn2DBD,66,14,1,1_180_1,,
Msn2DBDContextND,32,23,1,2_0_2,,
Msn2DBDContextND,32,23,1,1_180_2,,
Msn2DBDOE,32,14,2,2_0_2,,v
Msn2DBDOE,32,14,2,1_45_1,,
Msn2DBDOE,32,14,2,1_90_1,,
Msn2DBDOE,32,14,2,1_180_1,,
Msn2DBDOE,30,14,1,1_0_1,,
Msn2DBDOE,30,14,1,1_0_2,,
Msn2DBDOE,30,14,1,1_90_1,,
Msn2DBDOE,30,14,1,1_180_1,,
Msn2DBDOE,78,14,2,2_0_2,,v
Msn2DBDOE,78,14,2,1_90_1,,
Msn2DBDOE,78,14,2,1_90_2,,
Msn2DBDOE,78,14,2,1_180_1,,
Msn2DBDOE,78,14,2,1_180_2,,
Msn2DBDOE,40,14,1,1_0_1,,
Msn2DBDOE,40,14,1,1_90_1,,
Msn2DBDOE,40,14,1,1_180_1,,
Msn2DBDOE,87,14,1,1_90_1,,
Msn2DBDOE,87,14,1,1_180_1,,
Msn2DBDOE,46,14,1,1_0_1,no reads,
Msn2DBDOE,46,14,1,1_0_2,no reads,
Msn2DBDOE,46,14,1,1_90_2,,
Msn2DBDOE,46,14,1,1_180_1,,
Msn2DBDOE,86,14,2,2_0_2,,v
Msn2DBDOE,86,14,2,1_90_1,,
Msn2DBDOE,86,14,2,2_180_2,,
Msn2DBDOE,66,14,1,1_90_1,,
Msn2DBDOE,66,14,1,1_180_1,,
Msn2DBDOE,88,14,2,2_0_2,,
Msn2DBDOE,88,14,2,1_90_1,,
Msn2DBDOE,88,14,2,1_180_1,,
Msn2DBDOE,88,14,2,1_180_2,,
Msn2DBDOE,69,14,2,2_0_2,no reads,v
Msn2DBDOE,56,14,2,2_0_2,no reads,v
Msn2DBDOE,56,14,2,1_45_1,,
Msn2DBDOE,56,14,2,1_90_1,,
Msn2DBDOE,56,14,2,1_180_1,,
Msn2DBDOE,72,14,1,1_0_1,,
Msn2DBDOE,72,14,1,1_0_2,,
Msn2DBDOE,72,14,1,1_45_1,,
Msn2DBDOE,72,14,1,1_90_1,,
Msn2DBDOE,72,14,1,1_90_2,,
Msn2DBDOE,72,14,1,1_180_1,,
Msn2NONDBD,86,25,2,2_0_2,,
