Samle number,Pool name,Strain,Library,Trans repeat,Time point,Time point repeat,Well barcode number
1,Context_1,Msn2,Msn2A,1,0,1,1
2,Context_1,Msn2,Msn2B,1,0,1,2
3,Context_1,Msn2,Msn2C,1,0,1,3
4,Context_1,Msn2,Msn2D,1,0,1,4
5,Context_1,Msn2,Msn2E,1,0,1,5
6,Context_1,Msn2,Msn2F,1,0,1,6
7,Context_1,Msn2,Msn2G,1,0,1,7
8,Context_1,Msn2,Msn2H,1,0,1,8
9,Context_1,Mot3,Mot3A,1,0,1,9
10,Context_1,Mot3,Mot3B,1,0,1,10
11,Context_1,Msn2,Msn2A,1,0,2,11
12,Context_1,Msn2,Msn2B,1,0,2,12
13,Context_1,Msn2,Msn2C,1,0,2,13
14,Context_1,Msn2,Msn2D,1,0,2,14
15,Context_1,Msn2,Msn2E,1,0,2,15
16,Context_1,Msn2,Msn2F,1,0,2,16
17,Context_1,Msn2,Msn2G,1,0,2,17
18,Context_1,Msn2,Msn2H,1,0,2,18
19,Context_1,Mot3,Mot3A,1,0,2,19
20,Context_1,Mot3,Mot3B,1,0,2,20
21,Context_1,Msn2,Msn2A,1,0,3,21
22,Context_1,Msn2,Msn2B,1,0,3,22
23,Context_1,Msn2,Msn2C,1,0,3,23
24,Context_1,Msn2,Msn2D,1,0,3,24
25,Context_1,Msn2,Msn2E,1,0,3,25
26,Context_1,Msn2,Msn2F,1,0,3,26
27,Context_1,Msn2,Msn2G,1,0,3,27
28,Context_1,Msn2,Msn2H,1,0,3,28
29,Context_1,Mot3,Mot3A,1,0,3,29
30,Context_1,Mot3,Mot3B,1,0,3,30
31,Context_3,Msn2,Msn2A,1,180,1,1
32,Context_3,Msn2,Msn2B,1,180,1,2
33,Context_3,Msn2,Msn2C,1,180,1,3
34,Context_3,Msn2,Msn2D,1,180,1,4
35,Context_3,Msn2,Msn2E,1,180,1,5
36,Context_3,Msn2,Msn2F,1,180,1,6
37,Context_3,Msn2,Msn2G,1,180,1,7
38,Context_3,Msn2,Msn2H,1,180,1,8
39,Context_3,Mot3,Mot3A,1,180,1,9
40,Context_3,Mot3,Mot3B,1,180,1,10
41,Context_3,Msn2,Msn2A,1,180,2,11
42,Context_3,Msn2,Msn2B,1,180,2,12
43,Context_3,Msn2,Msn2C,1,180,2,13
44,Context_3,Msn2,Msn2D,1,180,2,14
45,Context_3,Msn2,Msn2E,1,180,2,15
46,Context_3,Msn2,Msn2F,1,180,2,16
47,Context_3,Msn2,Msn2G,1,180,2,17
48,Context_3,Msn2,Msn2H,1,180,2,18
49,Context_3,Mot3,Mot3A,1,180,2,19
50,Context_3,Mot3,Mot3B,1,180,2,20
51,Context_3,Msn2,Msn2A,1,180,3,21
