Sample number,Pool name,Strain,Library,Trans repeat,Time point,Time point repeat,Well barcode number
1,freeMnase_1,freeMnase,Msn2A,1,0,1,1
2,freeMnase_1,freeMnase,Msn2A,1,0,2,2
3,freeMnase_1,freeMnase,Msn2A,1,0,3,3
4,freeMnase_1,freeMnase,Msn2B,1,0,1,4
5,freeMnase_1,freeMnase,Msn2B,1,0,2,5
6,freeMnase_1,freeMnase,Msn2B,1,0,3,6
7,freeMnase_1,freeMnase,Msn2C,1,0,1,7
8,freeMnase_1,freeMnase,Msn2C,1,0,2,8
9,freeMnase_1,freeMnase,Msn2C,1,0,3,9
10,freeMnase_1,freeMnase,Msn2D,1,0,1,10
11,freeMnase_1,freeMnase,Msn2D,1,0,2,11
12,freeMnase_1,freeMnase,Msn2D,1,0,3,12
13,freeMnase_1,freeMnase,Msn2E,1,0,1,13
14,freeMnase_1,freeMnase,Msn2E,1,0,2,14
15,freeMnase_1,freeMnase,Msn2E,1,0,3,15
16,freeMnase_1,freeMnase,Msn2F,1,0,1,16
17,freeMnase_1,freeMnase,Msn2F,1,0,2,17
18,freeMnase_1,freeMnase,Msn2F,1,0,3,18
19,freeMnase_1,freeMnase,Msn2G,1,0,1,19
20,freeMnase_1,freeMnase,Msn2G,1,0,2,20
21,freeMnase_1,freeMnase,Msn2G,1,0,3,21
22,freeMnase_1,freeMnase,Msn2H,1,0,1,22
23,freeMnase_1,freeMnase,Msn2H,1,0,2,23
24,freeMnase_1,freeMnase,Msn2H,1,0,3,24
25,freeMnase_1,freeMnase,Msn2A,1,180,1,25
26,freeMnase_1,freeMnase,Msn2A,1,180,2,26
27,freeMnase_1,freeMnase,Msn2A,1,180,3,27
28,freeMnase_1,freeMnase,Msn2B,1,180,1,28
29,freeMnase_1,freeMnase,Msn2B,1,180,2,29
30,freeMnase_1,freeMnase,Msn2B,1,180,3,30
31,freeMnase_1,freeMnase,Msn2C,1,180,1,31
32,freeMnase_1,freeMnase,Msn2C,1,180,2,32
33,freeMnase_2,freeMnase,Msn2C,1,180,3,1
34,freeMnase_2,freeMnase,Msn2D,1,180,1,2
35,freeMnase_2,freeMnase,Msn2D,1,180,2,3
36,freeMnase_2,freeMnase,Msn2D,1,180,3,4
37,freeMnase_2,freeMnase,Msn2E,1,180,1,5
38,freeMnase_2,freeMnase,Msn2E,1,180,2,6
