Name,Chromosome,Start,End,prom_length,GC
TFC3,1,151209,151909,700,0.29285714285714287
VPS8,1,143380,143611,231,0.31601731601731603
EFB1,1,141492,142152,660,0.36818181818181817
SSA1,1,141493,142153,660,0.36818181818181817
ERP2,1,138414,139114,700,0.3457142857142857
FUN14,1,136755,136865,110,0.3181818181818182
SPO7,1,135701,135822,121,0.2727272727272727
MDM10,1,135702,135823,121,0.2644628099173554
SWC3,1,132081,132194,113,0.36283185840707965
CYS3,1,130587,130741,154,0.37662337662337664
DEP1,1,129066,129235,169,0.33727810650887574
SYN8,1,129067,129236,169,0.33727810650887574
NTG1,1,128074,128118,44,0.20454545454545456
TPD3,1,124445,124785,340,0.3088235294117647
PSK1,1,119161,119861,700,0.37285714285714283
FUN30,1,114636,114812,176,0.4318181818181818
ATS1,1,114637,114813,176,0.4375
CCR4,1,113418,113539,121,0.4380165289256198
FUN26,1,110446,110616,170,0.3058823529411765
PMT2,1,108640,108835,195,0.3230769230769231
LTE1,1,105986,106157,171,0.30994152046783624
MAK16,1,101168,101482,314,0.267515923566879
DRS2,1,99783,100024,241,0.31950207468879666
SAW1,1,94528,94605,77,0.3116883116883117
FRT2,1,92521,92835,314,0.321656050955414
MYO4,1,92522,92836,314,0.321656050955414
SNC1,1,87077,87263,186,0.3602150537634409
GIP4,1,87078,87264,186,0.3548387096774194
PRP45,1,84494,84664,170,0.32941176470588235
POP5,1,82584,82700,116,0.31896551724137934
FUN19,1,82585,82701,116,0.3275862068965517
FUN12,1,76399,76400,1,1.0
RBG1,1,76184,76400,216,0.4166666666666667
YAL037W,1,73451,73452,1,0.0
CDC19,1,71058,71758,700,0.3657142857142857
CYC3,1,69581,70281,700,0.3742857142857143
CLN3,1,67844,68544,700,0.42428571428571427
CDC24,1,62653,62775,122,0.4180327868852459
ERV46,1,61071,61293,222,0.3783783783783784
PTA1,1,61072,61294,222,0.3783783783783784
GCV3,1,58471,58619,148,0.43243243243243246
AIM1,1,57415,57517,102,0.35294117647058826
SPC72,1,56886,56907,21,0.23809523809523808
GEM1,1,54790,54934,144,0.2777777777777778
AIM2,1,52661,53361,700,0.38857142857142857
OAF1,1,48321,48533,212,0.3867924528301887
FLC2,1,45067,45758,691,0.3849493487698987
ACS1,1,45068,45759,691,0.3849493487698987
PEX22,1,41998,42169,171,0.27485380116959063
GPB2,1,39162,39211,49,0.3877551020408163
CNE1,1,37331,37414,83,0.3132530120481928
ECM1,1,36386,36506,120,0.2916666666666667
BDH1,1,34916,35106,190,0.4105263157894737
BDH2,1,33014,33358,344,0.43023255813953487
GDH3,1,30828,31528,700,0.3142857142857143
SEO1,1,9260,9960,700,0.35
NUP60,1,151514,152214,700,0.28
SWD1,1,154745,154919,174,0.27586206896551724
RFA1,1,158682,158872,190,0.3473684210526316
SEN34,1,158681,158871,190,0.3473684210526316
BUD14,1,169021,169277,256,0.36328125
ADE1,1,169020,169276,256,0.36328125
KIN3,1,171719,172165,446,0.28699551569506726
CDC15,1,175181,175881,700,0.38285714285714284
YAR023C,1,180697,181397,700,0.3742857142857143
UIP3,1,182970,183670,700,0.3314285714285714
YAR028W,1,184654,184847,193,0.42487046632124353
YAR029W,1,184847,184852,5,0.2
MST28,1,187350,188050,700,0.41
YAT1,1,189448,190148,700,0.4085714285714286
SWH1,1,192359,192582,223,0.3721973094170404
ECM15,2,237478,238178,700,0.32571428571428573
HTB2,2,235818,236468,650,0.34
